state,year,month,district,type,count,amount,source_path
Andhra Pradesh,2018,1,chittoor district,TOTAL,830324,1009621878.0870512,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,guntur district,TOTAL,815932,1108686589.0266829,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,krishna district,TOTAL,863935,1284255179.6156201,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,2,east godavari district,TOTAL,1221677,2168914928.4239016,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,srikakulam district,TOTAL,559868,929392017.3670053,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,spsr nellore district,TOTAL,780454,1542057934.0108962,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,vizianagaram district,TOTAL,529588,811711367.5080048,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,visakhapatnam district,TOTAL,1641192,2987853607.2939095,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,prakasam district,TOTAL,739991,1571167562.1276276,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,anantapur district,TOTAL,937023,1690366079.0557928,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,ysr district,TOTAL,690842,1415500367.6861844,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,west godavari district,TOTAL,786033,1688025212.3045945,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,kurnool district,TOTAL,968439,1531888665.6843233,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,chittoor district,TOTAL,1185723,1990419125.8937118,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,guntur district,TOTAL,1088101,2108475811.7859967,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,2,krishna district,TOTAL,1224987,2448141593.4919834,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\2.json
Andhra Pradesh,2018,3,east godavari district,TOTAL,3226907,3551247095.307447,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,srikakulam district,TOTAL,1073883,1318322236.598471,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,spsr nellore district,TOTAL,1308890,2215938596.185108,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,vizianagaram district,TOTAL,970132,1163546006.895916,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,visakhapatnam district,TOTAL,3394576,4821892253.393524,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,prakasam district,TOTAL,1319651,2346453445.483843,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,anantapur district,TOTAL,1815215,2681787750.464165,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,ysr district,TOTAL,1557444,2235904512.2542048,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,west godavari district,TOTAL,1431282,2309078492.8058147,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,kurnool district,TOTAL,2921189,2908389261.539773,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,chittoor district,TOTAL,2297429,3283517630.720593,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,guntur district,TOTAL,1912529,3127764663.180438,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,3,krishna district,TOTAL,2396934,3754202654.3844614,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\3.json
Andhra Pradesh,2018,4,east godavari district,TOTAL,3052762,4652624623.436675,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,srikakulam district,TOTAL,1252807,1870278609.504549,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,spsr nellore district,TOTAL,1814997,3293448556.9734454,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,vizianagaram district,TOTAL,1386787,1817673252.5417767,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,visakhapatnam district,TOTAL,4791421,7366635864.849373,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,prakasam district,TOTAL,1692862,3255254226.03728,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,anantapur district,TOTAL,2286391,3975878156.329829,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,ysr district,TOTAL,1732527,3252340063.2478595,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,west godavari district,TOTAL,1688482,3237504255.4632454,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,kurnool district,TOTAL,2508530,3626544852.4069242,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,chittoor district,TOTAL,3166201,4979093890.223491,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,guntur district,TOTAL,2546620,4730251217.696959,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2018,4,krishna district,TOTAL,2839161,5416251838.130407,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\4.json
Andhra Pradesh,2019,1,east godavari district,TOTAL,5440146,7382264724.59952,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,srikakulam district,TOTAL,2526855,3407912878.4152584,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,spsr nellore district,TOTAL,3333584,5161932216.216368,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,vizianagaram district,TOTAL,2798241,3364576948.299301,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,visakhapatnam district,TOTAL,9690866,13459857440.552685,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,prakasam district,TOTAL,2931081,4807527779.215151,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,anantapur district,TOTAL,3891336,6044730653.191345,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,ysr district,TOTAL,2852197,4915811593.896078,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,west godavari district,TOTAL,2829437,4623764455.47309,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,kurnool district,TOTAL,4193432,5541564892.509682,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,chittoor district,TOTAL,6486813,8223371732.233585,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,guntur district,TOTAL,4846553,7765934169.404485,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,1,krishna district,TOTAL,5443981,9061346433.072681,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\1.json
Andhra Pradesh,2019,2,east godavari district,TOTAL,4699261,9116404622.47651,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\2.json
Andhra Pradesh,2019,2,srikakulam district,TOTAL,2019203,4066576539.936839,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2019\2.json
